"kuerzel";"kuerzelStatistik";"bezeichnung";"bezeichnungZeugnis";"bezeichnungUeberweisungszeugnis";"sortierung";"istSichtbar";"aufZeugnis";"istFremdsprache";"aufgabenfeld";"bilingualeSprache";"istOberstufenFach";"istPruefungsordnungsRelevant";"istMoeglichAlsNeueFremdspracheInSekII";"istNachpruefungErlaubt";"istSchriftlichZK";"istSchriftlichBA";"istFHRFach";"holeAusAltenLernabschnitten";"maxZeichenInFachbemerkungen"
"D";"D";"Deutsch";"Deutsch";"Deutsch";"10";"true";"true";"false";"";"";"true";"true";"false";"true";"true";"false";"false";"true";""
"E";"E";"Englisch";"Englisch";"Englisch";"20";"true";"true";"true";"";"Englisch";"true";"true";"false";"true";"true";"false";"false";"true";""
"M";"M";"Mathematik";"Mathematik";"Mathematik";"30";"true";"true";"false";"";"";"true";"true";"false";"true";"true";"false";"false";"true";""
"F";"F";"Französisch";"Französisch";"Französisch";"40";"true";"true";"true";"";"Französisch";"true";"true";"true";"true";"false";"false";"false";"true";""
"CH";"CH";"Chemie";"Chemie";"Chemie";"100";"true";"true";"false";"";"";"true";"true";"false";"true";"false";"false";"false";"true";""
"BI";"BI";"Biologie";"Biologie";"Biologie";"110";"true";"true";"false";"";"";"true";"true";"false";"true";"false";"false";"false";"true";""
"PH";"PH";"Physik";"Physik";"Physik";"120";"true";"true";"false";"";"";"true";"true";"false";"true";"false";"false";"false";"true";""
"GE";"GE";"Geschichte";"Geschichte";"Geschichte";"160";"true";"true";"false";"";"";"true";"true";"false";"true";"false";"false";"false";"true";""
"EK";"EK";"Erdkunde";"Erdkunde";"Erdkunde";"150";"true";"true";"false";"";"";"true";"true";"false";"true";"false";"false";"false";"true";""
"KU";"KU";"Kunst";"Kunst";"Kunst";"260";"true";"true";"false";"";"";"true";"false";"false";"false";"false";"false";"false";"true";""
"SP";"SP";"Sport";"Sport";"Sport";"250";"true";"true";"false";"";"";"true";"false";"false";"false";"false";"false";"false";"true";""
"PP";"PP";"Praktische Philosophie";"Praktische Philosophie";"Praktische Philosophie";"240";"true";"true";"false";"";"";"false";"false";"false";"false";"false";"false";"false";"true";""
"ER";"ER";"Evangelische Religionslehre";"Religionslehre";"Religionslehre";"220";"true";"true";"false";"";"";"true";"false";"false";"false";"false";"false";"false";"true";""
"KR";"KR";"Katholische Religionslehre";"Religionslehre";"Religionslehre";"230";"true";"true";"false";"";"";"true";"false";"false";"false";"false";"false";"false";"true";""
"MU";"MU";"Musik";"Musik";"Musik";"270";"true";"true";"false";"";"";"true";"false";"false";"false";"false";"false";"false";"true";""
