"schuljahr";"abschnitt";"kuerzel";"beschreibung";"kuerzelJahrgang";"parallelitaet";"kuerzelFolgeklasse";"kuerzelVorgaengerklasse";"sortierung";"teilstandort";"noteneingabeGesperrt";"verwendungAnkreuzkompetenzen";"pruefungsordnung";"beginnSommersemester";"klassenlehrer"
"2025";"2";"10a";"10a";"10";"A";"EF";"";"10";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"FRIT"
"2025";"2";"10b";"10b";"10";"B";"EF";"";"20";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"SACK"
"2025";"2";"10c";"10c";"10";"C";"EF";"";"30";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"ZAR1"
"2025";"2";"10d";"10d";"10";"D";"EF";"";"40";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"FRI1"
"2025";"2";"9a";"9a";"09";"A";"10a";"";"50";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"LOHE"
"2025";"2";"9b";"9b";"09";"B";"10b";"";"60";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"DORN"
"2025";"2";"9c";"9c";"09";"C";"10c";"";"70";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"GILD"
"2025";"2";"9d";"9d";"09";"D";"10d";"";"80";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"TREI"
"2025";"2";"8a";"8a";"08";"A";"9a";"";"90";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"AMMO"
"2025";"2";"8b";"8b";"08";"B";"9b";"";"100";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"ARAU"
"2025";"2";"8c";"8c";"08";"C";"9c";"";"110";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"ASH"
"2025";"2";"8d";"8d";"08";"D";"9d";"";"120";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BART"
"2025";"2";"7a";"7a";"07";"A";"8a";"";"130";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BAUM"
"2025";"2";"7b";"7b";"07";"B";"8b";"";"140";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BDL"
"2025";"2";"7c";"7c";"07";"C";"8c";"";"150";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BEC1"
"2025";"2";"7d";"7d";"07";"D";"8d";"";"160";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BEES"
"2025";"2";"6a";"6a";"06";"A";"7a";"";"170";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BEHR"
"2025";"2";"6b";"6b";"06";"B";"7b";"";"180";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BER1"
"2025";"2";"6c";"6c";"06";"C";"7c";"";"190";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BERT"
"2025";"2";"6d";"6d";"06";"D";"7d";"";"200";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BIEK"
"2025";"2";"5a";"5a";"05";"A";"6a";"";"210";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BIES"
"2025";"2";"5b";"5b";"05";"B";"6b";"";"220";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BILL"
"2025";"2";"5c";"5c";"05";"C";"6c";"";"230";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BOLE"
"2025";"2";"5d";"5d";"05";"D";"6d";"";"240";"A";"false";"false";"APO-SI 05: Jahrgänge 5-10";"false";"BRE1"
"2025";"2";"EF";"EF";"EF";"";"Q1";"";"250";"A";"false";"false";"APO-GOSt";"false";"BREI"
"2025";"2";"Q1";"Q1";"Q1";"";"Q2";"";"260";"A";"false";"false";"APO-GOSt";"false";"BRI1"
"2025";"2";"Q2";"Q2";"Q2";"";"";"Q1";"270";"A";"false";"false";"APO-GOSt";"false";"BRIS"
