"plz";"ort";"ortsteil"
"45127";"Essen";"Stadtkern"
"45127";"Essen";"Nordviertel"
"45127";"Essen";"Südviertel"
"45127";"Essen";"Ostviertel"
"45127";"Essen";"Westviertel"
"45127";"Essen";"Südostviertel"
"45127";"Essen";"Huttrop"
"45127";"Essen";"Rüttenscheid"
"45127";"Essen";"Holsterhausen"
"45127";"Essen";"Frohnhausen"
"45127";"Essen";"Altendorf"
"45127";"Essen";"Altenessen-Süd"
"45127";"Essen";"Altenessen-Nord"
"45127";"Essen";"Katernberg"
"45127";"Essen";"Schonnebeck"
"45127";"Essen";"Kray"
"45127";"Essen";"Steele"
"45127";"Essen";"Freisenbruch"
"45127";"Essen";"Bergerhausen"
"45127";"Essen";"Rellinghausen"
"45127";"Essen";"Überruhr-Hinsel"
"45127";"Essen";"Überruhr-Holthausen"
"45127";"Essen";"Bredeney"
"45127";"Essen";"Margarethenhöhe"
"45127";"Essen";"Südviertel"
"45127";"Essen";"Haarzopf"
"45127";"Essen";"Schuir"
"45127";"Essen";"Heisingen"
"45127";"Essen";"Kupferdreh"
"45127";"Essen";"Byfang"
"45127";"Essen";"Kettwig"
"45127";"Essen";"Heidhausen"
"45127";"Essen";"Burgaltendorf"
"45127";"Essen";"Frillendorf"
"45127";"Essen";"Stoppenberg"
"45127";"Essen";"Fulerum"
"45127";"Essen";"Dellwig"
"45127";"Essen";"Gerschede"
"45127";"Essen";"Bochold"
"45127";"Essen";"Borbeck-Mitte"
"45127";"Essen";"Bergeborbeck"
"45127";"Essen";"Bedingrade"
"45127";"Essen";"Schönebeck"
"45127";"Essen";"Frintrop"
"45127";"Essen";"Bedingrade"
"45127";"Essen";"Essen-West"
"45127";"Essen";"Kray-Süd"
"45127";"Essen";"Kray-Nord"
"45127";"Essen";"Leithe"
"45127";"Essen";"Rüttenscheid"
