"plz";"ort";"ortsteil"
"52062";"Aachen";"Aachen-Mitte"
"52062";"Aachen";"Burtscheid"
"52062";"Aachen";"Frankenberger Viertel"
"52062";"Aachen";"Ponttor"
"52062";"Aachen";"Hörn"
"52064";"Aachen";"Aachen-Mitte"
"52064";"Aachen";"Saarstraße"
"52064";"Aachen";"Westpark"
"52066";"Aachen";"Aachen-Mitte"
"52066";"Aachen";"Burtscheid"
"52066";"Aachen";"Rothe Erde"
"52066";"Aachen";"Forst"
"52068";"Aachen";"Brand"
"52068";"Aachen";"Rothe Erde"
"52068";"Aachen";"Forst"
"52070";"Aachen";"Laurensberg"
"52070";"Aachen";"Haaren"
"52070";"Aachen";"Mitte"
"52072";"Aachen";"Laurensberg"
"52072";"Aachen";"Horbach"
"52072";"Aachen";"Aachen-Mitte"
"52074";"Aachen";"Laurensberg"
"52074";"Aachen";"Brand"
"52074";"Aachen";"Vaalserquartier"
"52074";"Aachen";"Hörn"
"52076";"Aachen";"Brand"
"52076";"Aachen";"Kornelimünster"
"52076";"Aachen";"Walheim"
"52076";"Aachen";"Lichtenbusch"
"52078";"Aachen";"Haaren"
"52078";"Aachen";"Eilendorf"
"52078";"Aachen";"Verlautenheide"
"52080";"Aachen";"Haaren"
"52080";"Aachen";"Eilendorf"
"52080";"Aachen";"Forst"
