"plz";"ort";"ortsteil"
"44135";"Dortmund";"Mitte"
"44137";"Dortmund";"Mitte"
"44139";"Dortmund";"Mitte"
"44141";"Dortmund";"Mitte"
"44143";"Dortmund";"Mitte"
"44145";"Dortmund";"Mitte"
"44147";"Dortmund";"Hafen"
"44149";"Dortmund";"Dorstfeld"
"44225";"Dortmund";"Hombruch"
"44227";"Dortmund";"Hombruch"
"44229";"Dortmund";"Hombruch"
"44263";"Dortmund";"Hörde"
"44265";"Dortmund";"Hörde"
"44267";"Dortmund";"Hörde"
"44269";"Dortmund";"Hörde"
"44287";"Dortmund";"Aplerbeck"
"44289";"Dortmund";"Aplerbeck"
"44309";"Dortmund";"Brackel"
"44319";"Dortmund";"Körne"
"44328";"Dortmund";"Scharnhorst"
"44329";"Dortmund";"Scharnhorst"
"44339";"Dortmund";"Eving"
"44357";"Dortmund";"Mengede"
"44359";"Dortmund";"Mengede"
"44369";"Dortmund";"Lütgendortmund"
"44379";"Dortmund";"Lütgendortmund"
"44388";"Dortmund";"Lütgendortmund"
