"plz";"ort";"ortsteil"
"50667";"Köln";"Altstadt-Nord"
"50667";"Köln";"Altstadt-Süd"
"50668";"Köln";"Neustadt-Nord"
"50670";"Köln";"Neustadt-Nord"
"50672";"Köln";"Neustadt-Nord"
"50674";"Köln";"Neustadt-Süd"
"50676";"Köln";"Altstadt-Süd"
"50677";"Köln";"Neustadt-Süd"
"50678";"Köln";"Deutz"
"50679";"Köln";"Deutz"
"50733";"Köln";"Nippes"
"50735";"Köln";"Nippes"
"50737";"Köln";"Weidenpesch"
"50739";"Köln";"Longerich"
"50765";"Köln";"Chorweiler"
"50767";"Köln";"Volkhoven/Weiler"
"50769";"Köln";"Merkenich"
"50823";"Köln";"Ehrenfeld"
"50825";"Köln";"Ehrenfeld"
"50827";"Köln";"Bickendorf"
"50829";"Köln";"Bocklemünd/Mengenich"
"50858";"Köln";"Junkersdorf"
"50859";"Köln";"Lövenich"
"50931";"Köln";"Lindenthal"
"50933";"Köln";"Braunsfeld"
"50935";"Köln";"Sülz"
"50937";"Köln";"Sülz"
"50939";"Köln";"Klettenberg"
"50968";"Köln";"Bayenthal"
"50969";"Köln";"Zollstock"
"50996";"Köln";"Rodenkirchen"
"50997";"Köln";"Sürth"
"50999";"Köln";"Hahnwald"
"51061";"Köln";"Mülheim"
"51063";"Köln";"Mülheim"
"51065";"Köln";"Buchforst"
"51067";"Köln";"Buchheim"
"51069";"Köln";"Dellbrück"
"51103";"Köln";"Kalk"
"51105";"Köln";"Vingst"
"51107";"Köln";"Ostheim"
"51109";"Köln";"Brück"
"51143";"Köln";"Porz"
"51145";"Köln";"Eil"
"51147";"Köln";"Wahn"
"51149";"Köln";"Poll"
