"plz";"ort";"ortsteil"
"53840";"Troisdorf";"Troisdorf-Mitte"
"53840";"Troisdorf";"Friedrich-Wilhelms-Hütte"
"53840";"Troisdorf";"Aggerdeich"
"53840";"Troisdorf";"Troisdorf-Friedrich-Wilhelms-Hütte"
"53842";"Troisdorf";"Bergheim"
"53842";"Troisdorf";"Eschmar"
"53842";"Troisdorf";"Kriegsdorf"
"53842";"Troisdorf";"Müllekoven"
"53842";"Troisdorf";"Oberlar"
"53842";"Troisdorf";"Rotter See"
"53842";"Troisdorf";"Sieglar"
"53842";"Troisdorf";"Troisdorf-West"
"53844";"Troisdorf";"Altenrath"
"53844";"Troisdorf";"Spich"
