"plz";"ort";"ortsteil"
"33602";"Bielefeld";"Innenstadt"
"33604";"Bielefeld";"Innenstadt"
"33604";"Bielefeld";"Sieker"
"33605";"Bielefeld";"Sieker"
"33605";"Bielefeld";"Stieghorst"
"33607";"Bielefeld";"Innenstadt"
"33609";"Bielefeld";"Baumheide"
"33609";"Bielefeld";"Innenstadt"
"33609";"Bielefeld";"Schildesche"
"33611";"Bielefeld";"Schildesche"
"33613";"Bielefeld";"Babenhausen"
"33613";"Bielefeld";"Gellershagen"
"33613";"Bielefeld";"Innenstadt"
"33613";"Bielefeld";"Sudbrack"
"33615";"Bielefeld";"Gellershagen"
"33615";"Bielefeld";"Innenstadt"
"33617";"Bielefeld";"Gadderbaum"
"33617";"Bielefeld";"Innenstadt"
"33619";"Bielefeld";"Babenhausen"
"33619";"Bielefeld";"Großdornberg"
"33619";"Bielefeld";"Hoberge-Uerentrup"
"33619";"Bielefeld";"Kirchdornberg"
"33619";"Bielefeld";"Innenstadt"
"33619";"Bielefeld";"Niederdornberg-Deppendorf"
"33619";"Bielefeld";"Schröttinghausen"
"33647";"Bielefeld";"Brackwede"
"33647";"Bielefeld";"Senne"
"33647";"Bielefeld";"Ummeln"
"33649";"Bielefeld";"Brackwede"
"33649";"Bielefeld";"Holtkamp"
"33649";"Bielefeld";"Quelle"
"33649";"Bielefeld";"Ummeln"
"33659";"Bielefeld";"Senne"
"33689";"Bielefeld";"Dalbke"
"33689";"Bielefeld";"Eckardtsheim"
"33689";"Bielefeld";"Sennestadt"
"33689";"Bielefeld";"Wilhelmsdorf"
"33699";"Bielefeld";"Hillegossen"
"33699";"Bielefeld";"Lämershagen-Gräfinghagen"
"33699";"Bielefeld";"Ubbedissen"
"33719";"Bielefeld";"Altenhagen"
"33719";"Bielefeld";"Brake"
"33719";"Bielefeld";"Brönninghausen"
"33719";"Bielefeld";"Heepen"
"33729";"Bielefeld";"Altenhagen"
"33729";"Bielefeld";"Brake"
"33729";"Bielefeld";"Milse"
"33729";"Bielefeld";"Oldentrup"
"33729";"Bielefeld";"Theesen"
"33739";"Bielefeld";"Deppendorf"
"33739";"Bielefeld";"Großdornberg"
"33739";"Bielefeld";"Niederdornberg-Deppendorf"
"33739";"Bielefeld";"Schröttinghausen"
"33739";"Bielefeld";"Theesen"
