"plz";"ort";"ortsteil"
"42103";"Wuppertal";"Elberfeld-Mitte"
"42103";"Wuppertal";"Friedrichsberg"
"42103";"Wuppertal";"Grifflenberg"
"42103";"Wuppertal";"Nordstadt"
"42103";"Wuppertal";"Ostersbaum"
"42103";"Wuppertal";"Südstadt"
"42105";"Wuppertal";"Elberfeld-West"
"42107";"Wuppertal";"Ostersbaum"
"42109";"Wuppertal";"Uellendahl"
"42111";"Wuppertal";"Dönberg"
"42111";"Wuppertal";"Nevigeser Straße"
"42111";"Wuppertal";"Siebeneick"
"42113";"Wuppertal";"Beek"
"42113";"Wuppertal";"Eckbusch"
"42115";"Wuppertal";"Arrenberg"
"42115";"Wuppertal";"Brill"
"42115";"Wuppertal";"Elberfeld-West"
"42115";"Wuppertal";"Nützenberg"
"42115";"Wuppertal";"Varresbeck"
"42117";"Wuppertal";"Friedrichsberg"
"42117";"Wuppertal";"Unterbarmen"
"42117";"Wuppertal";"Zoo"
"42119";"Wuppertal";"Südstadt"
"42275";"Wuppertal";"Barmen-Mitte"
"42277";"Wuppertal";"Oberbarmen-Schwarzbach"
"42277";"Wuppertal";"Wichlinghausen"
"42279";"Wuppertal";"Heckinghausen"
"42279";"Wuppertal";"Löhrerlen"
"42281";"Wuppertal";"Hatzfeld"
"42281";"Wuppertal";"Sedansberg"
"42283";"Wuppertal";"Clausen"
"42283";"Wuppertal";"Friedrich-Engels-Allee"
"42283";"Wuppertal";"Hesselnberg"
"42283";"Wuppertal";"Rott"
"42285";"Wuppertal";"Friedrich-Engels-Allee"
"42285";"Wuppertal";"Kothen"
"42285";"Wuppertal";"Loh"
"42287";"Wuppertal";"Langerfeld"
"42289";"Wuppertal";"Hammesberg"
"42289";"Wuppertal";"Heckinghausen"
"42289";"Wuppertal";"Heidt"
"42289";"Wuppertal";"Langerfeld"
"42289";"Wuppertal";"Rauental"
"42327";"Wuppertal";"Buchenhofen"
"42327";"Wuppertal";"Höhe"
"42327";"Wuppertal";"Industriestraße"
"42327";"Wuppertal";"Lüntenbeck"
"42327";"Wuppertal";"Osterholz"
"42327";"Wuppertal";"Schöller-Dornap"
"42327";"Wuppertal";"Sonnborn"
"42327";"Wuppertal";"Tesche"
"42329";"Wuppertal";"Schrödersbusch"
"42329";"Wuppertal";"Vohwinkel-Mitte"
"42329";"Wuppertal";"Westring"
"42349";"Wuppertal";"Berghausen"
"42349";"Wuppertal";"Cronenberg-Mitte"
"42349";"Wuppertal";"Cronenfeld"
"42349";"Wuppertal";"Hahnerberg"
"42349";"Wuppertal";"Kohlfurth"
"42349";"Wuppertal";"Küllenhahn"
"42349";"Wuppertal";"Sudberg"
"42369";"Wuppertal";"Blombach-Lohsiepen"
"42369";"Wuppertal";"Blutfinke"
"42369";"Wuppertal";"Erbschlö-Linde"
"42369";"Wuppertal";"Fleute"
"42369";"Wuppertal";"Langerfeld"
"42369";"Wuppertal";"Rehsiepen"
"42369";"Wuppertal";"Ronsdorf"
"42369";"Wuppertal";"Schenkstraße"
"42389";"Wuppertal";"Ehrenberg"
"42389";"Wuppertal";"Jesinghauser Straße"
"42389";"Wuppertal";"Langerfeld"
"42399";"Wuppertal";"Beyenburg"
"42399";"Wuppertal";"Herbringhausen"
