"plz";"ort";"ortsteil"
"40210";"Düsseldorf";"Friedrichstadt"
"40210";"Düsseldorf";"Stadtmitte"
"40211";"Düsseldorf";"Pempelfort"
"40211";"Düsseldorf";"Stadtmitte"
"40212";"Düsseldorf";"Friedrichstadt"
"40212";"Düsseldorf";"Stadtmitte"
"40213";"Düsseldorf";"Altstadt"
"40213";"Düsseldorf";"Carlstadt"
"40213";"Düsseldorf";"Friedrichstadt"
"40213";"Düsseldorf";"Pempelfort"
"40213";"Düsseldorf";"Stadtmitte"
"40213";"Düsseldorf";"Unterbilk"
"40215";"Düsseldorf";"Friedrichstadt"
"40215";"Düsseldorf";"Stadtmitte"
"40217";"Düsseldorf";"Friedrichstadt"
"40217";"Düsseldorf";"Unterbilk"
"40219";"Düsseldorf";"Hafen"
"40219";"Düsseldorf";"Unterbilk"
"40221";"Düsseldorf";"Bilk"
"40221";"Düsseldorf";"Flehe"
"40221";"Düsseldorf";"Hafen"
"40221";"Düsseldorf";"Hamm"
"40221";"Düsseldorf";"Unterbilk"
"40221";"Düsseldorf";"Volmerswerth"
"40223";"Düsseldorf";"Bilk"
"40223";"Düsseldorf";"Flehe"
"40223";"Düsseldorf";"Unterbilk"
"40225";"Düsseldorf";"Bilk"
"40225";"Düsseldorf";"Flehe"
"40225";"Düsseldorf";"Oberbilk"
"40225";"Düsseldorf";"Wersten"
"40227";"Düsseldorf";"Eller"
"40227";"Düsseldorf";"Oberbilk"
"40229";"Düsseldorf";"Eller"
"40229";"Düsseldorf";"Lierenfeld"
"40229";"Düsseldorf";"Oberbilk"
"40231";"Düsseldorf";"Eller"
"40231";"Düsseldorf";"Lierenfeld"
"40233";"Düsseldorf";"Flingern-Nord"
"40233";"Düsseldorf";"Flingern-Süd"
"40233";"Düsseldorf";"Lierenfeld"
"40233";"Düsseldorf";"Stadtmitte"
"40235";"Düsseldorf";"Flingern-Nord"
"40235";"Düsseldorf";"Flingern-Süd"
"40235";"Düsseldorf";"Grafenberg"
"40237";"Düsseldorf";"Düsseltal"
"40237";"Düsseldorf";"Flingern-Nord"
"40237";"Düsseldorf";"Mörsenbroich"
"40239";"Düsseldorf";"Düsseltal"
"40239";"Düsseldorf";"Mörsenbroich"
"40468";"Düsseldorf";"Derendorf"
"40468";"Düsseldorf";"Lichtenbroich"
"40468";"Düsseldorf";"Stockum"
"40468";"Düsseldorf";"Unterrath"
"40470";"Düsseldorf";"Düsseltal"
"40470";"Düsseldorf";"Grafenberg"
"40470";"Düsseldorf";"Mörsenbroich"
"40470";"Düsseldorf";"Rath"
"40472";"Düsseldorf";"Lichtenbroich"
"40472";"Düsseldorf";"Rath"
"40472";"Düsseldorf";"Unterrath"
"40474";"Düsseldorf";"Golzheim"
"40474";"Düsseldorf";"Lichtenbroich"
"40474";"Düsseldorf";"Lohausen"
"40474";"Düsseldorf";"Pempelfort"
"40474";"Düsseldorf";"Stockum"
"40476";"Düsseldorf";"Derendorf"
"40476";"Düsseldorf";"Golzheim"
"40476";"Düsseldorf";"Pempelfort"
"40477";"Düsseldorf";"Derendorf"
"40477";"Düsseldorf";"Golzheim"
"40477";"Düsseldorf";"Pempelfort"
"40479";"Düsseldorf";"Pempelfort"
"40489";"Düsseldorf";"Angermund"
"40489";"Düsseldorf";"Kaiserswerth"
"40489";"Düsseldorf";"Kalkum"
"40489";"Düsseldorf";"Lohausen"
"40489";"Düsseldorf";"Wittlaer"
"40545";"Düsseldorf";"Oberkassel"
"40547";"Düsseldorf";"Lörick"
"40547";"Düsseldorf";"Niederkassel"
"40547";"Düsseldorf";"Oberkassel"
