"schuljahr";"abschnitt";"klasse";"lehrerKuerzel";"kursart";"fach";"wochenstunden";"aufszeugnis"
"2025";"2";"5a";"BIES";"PUK";"D";"4";"true"
"2025";"2";"5a";"BIES";"PUK";"M";"4";"true"
"2025";"2";"5a";"BIES";"PUK";"E";"4";"true"
"2025";"2";"5a";"BIES";"PUK";"KU";"2";"true"
"2025";"2";"5a";"BIES";"PUK";"MU";"2";"true"
"2025";"2";"5a";"BIES";"PUK";"GE";"2";"true"
"2025";"2";"5a";"BIES";"PUK";"BI";"2";"true"
"2025";"2";"5a";"BIES";"PUK";"PH";"2";"true"
"2025";"2";"5a";"BIES";"PUK";"SP";"3";"true"
"2025";"2";"5b";"BILL";"PUK";"D";"4";"true"
"2025";"2";"5b";"BILL";"PUK";"M";"4";"true"
"2025";"2";"5b";"BILL";"PUK";"E";"4";"true"
"2025";"2";"5b";"BILL";"PUK";"KU";"2";"true"
"2025";"2";"5b";"BILL";"PUK";"MU";"2";"true"
"2025";"2";"5b";"BILL";"PUK";"GE";"2";"true"
"2025";"2";"5b";"BILL";"PUK";"BI";"2";"true"
"2025";"2";"5b";"BILL";"PUK";"PH";"2";"true"
"2025";"2";"5b";"BILL";"PUK";"SP";"3";"true"
"2025";"2";"5c";"BOLE";"PUK";"D";"4";"true"
"2025";"2";"5c";"BOLE";"PUK";"M";"4";"true"
"2025";"2";"5c";"BOLE";"PUK";"E";"4";"true"
"2025";"2";"5c";"BOLE";"PUK";"KU";"2";"true"
"2025";"2";"5c";"BOLE";"PUK";"MU";"2";"true"
"2025";"2";"5c";"BOLE";"PUK";"GE";"2";"true"
"2025";"2";"5c";"BOLE";"PUK";"BI";"2";"true"
"2025";"2";"5c";"BOLE";"PUK";"PH";"2";"true"
"2025";"2";"5c";"BOLE";"PUK";"SP";"3";"true"
"2025";"2";"5d";"BRE1";"PUK";"D";"4";"true"
"2025";"2";"5d";"BRE1";"PUK";"M";"4";"true"
"2025";"2";"5d";"BRE1";"PUK";"E";"4";"true"
"2025";"2";"5d";"BRE1";"PUK";"KU";"2";"true"
"2025";"2";"5d";"BRE1";"PUK";"MU";"2";"true"
"2025";"2";"5d";"BRE1";"PUK";"GE";"2";"true"
"2025";"2";"5d";"BRE1";"PUK";"BI";"2";"true"
"2025";"2";"5d";"BRE1";"PUK";"PH";"2";"true"
"2025";"2";"5d";"BRE1";"PUK";"SP";"3";"true"
"2025";"2";"6a";"BEHR";"PUK";"D";"4";"true"
"2025";"2";"6a";"BEHR";"PUK";"M";"4";"true"
"2025";"2";"6a";"BEHR";"PUK";"E";"4";"true"
"2025";"2";"6a";"BEHR";"PUK";"KU";"2";"true"
"2025";"2";"6a";"BEHR";"PUK";"MU";"2";"true"
"2025";"2";"6a";"BEHR";"PUK";"GE";"2";"true"
"2025";"2";"6a";"BEHR";"PUK";"BI";"2";"true"
"2025";"2";"6a";"BEHR";"PUK";"PH";"2";"true"
"2025";"2";"6a";"BEHR";"PUK";"SP";"3";"true"
"2025";"2";"6b";"BER1";"PUK";"D";"4";"true"
"2025";"2";"6b";"BER1";"PUK";"M";"4";"true"
"2025";"2";"6b";"BER1";"PUK";"E";"4";"true"
"2025";"2";"6b";"BER1";"PUK";"KU";"2";"true"
"2025";"2";"6b";"BER1";"PUK";"MU";"2";"true"
"2025";"2";"6b";"BER1";"PUK";"GE";"2";"true"
"2025";"2";"6b";"BER1";"PUK";"BI";"2";"true"
"2025";"2";"6b";"BER1";"PUK";"PH";"2";"true"
