"schuljahr";"abschnitt";"kuerzel";"lehrerkuerzel";"kursart";"fach";"jahrgaenge";"zeugnisbezeichnung";"wochenstunden";"wochenstundenlehrkraft";"fortschreibungsart";"schienen";"istepochal"
"2025";"2";"ER-05";"BIES";"PUT";"ER";"05";"evangelische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"KR-05";"ASH";"PUT";"KR";"05";"katholische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"AG-Sport";"ARAU";"PUT";"SP";"05,06,07";"Abenteuer AG";"4";"2";"jghalten";"";"false"
"2025";"2";"ER-06";"BERT";"PUT";"ER";"06";"evangelische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"KR-06";"BAUM";"PUT";"KR";"06";"katholische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"ER-07";"BIEK";"PUT";"ER";"07";"evangelische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"KR-07";"BEC1";"PUT";"KR";"07";"katholische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"ER-08";"BILL";"PUT";"ER";"08";"evangelische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"KR-08";"BEES";"PUT";"KR";"08";"katholische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"ER-09";"BOLE";"PUT";"ER";"09";"evangelische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"KR-09";"CASP";"PUT";"KR";"09";"katholische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"ER-10";"BREI";"PUT";"ER";"10";"evangelische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"KR-10";"CREU";"PUT";"KR";"10";"katholische Religionslehre";"4";"4";"komplett";"";"false"
"2025";"2";"AG-Informatik-08";"ELLI";"PUT";"IF";"08";"Informatik AG";"2";"2";"komplett";"";"false"
"2025";"2";"AG-Informatik-09";"EMME";"PUT";"IF";"09";"Informatik AG";"2";"2";"komplett";"";"false"
"2025";"2";"AG-Informatik-10";"BRIX";"PUT";"IF";"10";"Informatik AG";"2";"2";"komplett";"";"false"
"2025";"2";"WP-Spanisch";"DEIP";"PUT";"S";"07";"Spanisch Wahlpflicht";"2";"2";"komplett";"";"false"
"2025";"2";"WP-Spanisch-08";"DORN";"PUT";"S";"08";"Spanisch Wahlpflicht";"2";"2";"komplett";"";"false"
"2025";"2";"WP-Spanisch-09";"DÜVE";"PUT";"S";"09";"Spanisch Wahlpflicht";"2";"2";"komplett";"";"false"
"2025";"2";"WP-Spanisch-10";"ENGE";"PUT";"S";"10";"Spanisch Wahlpflicht";"2";"2";"komplett";"";"false"
